"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"DM01";"DM01_07";"DM01_08";"DM02_01";"DM05";"DM06";"DM06_01";"DM06_02";"DM06_03";"DM06_04";"DM06_05";"DM06_06";"DM06_07";"DM06_08";"DM06_09";"DM06_10";"DM06_11";"DM06_11a";"DM07";"DM07_01";"DM07_02";"DM07_03";"DM07_04";"DM07_05";"O101_01";"O101_02";"O101_12";"O101_03";"O101_04";"O101_16";"O101_05";"O101_15";"O101_06";"O101_07";"O101_08";"O101_17";"O102_01";"O102_02";"O103_01";"O103_02";"O103_03";"O103_04";"O103_05";"O103_06";"S101";"S101_01";"S101_02";"S101_03";"S101_04";"S101_06";"S101_06a";"S103";"S110";"S104";"S104_01";"S104_02";"S104_03";"S104_04";"S104_05";"S104_07";"S104_08";"S104_09";"S104_09a";"S105";"S105_01";"S105_02";"S105_03";"S105_04";"S105_04a";"S111";"S111s";"S106";"S106_01";"S106_02";"S106_03";"S106_04";"S106_05";"S106_06";"S112";"S112_01";"S112_02";"S112_03";"S112_04";"S112_05";"S112_06";"S112_07";"S112_08";"S112_08a";"S113";"S201_02";"S201_03";"S201_04";"S201_06";"S201_09";"S201_01";"S201_10";"S202";"S203";"S203_01";"S203_02";"S203_03";"S203_04";"S203_08";"S203_07";"S203_05";"S203_06";"S203_06a";"S204_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
387;;;"base";"interview";2021-03-03 08:41:58;3;;;"13";8;1;1;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;1;1;5;2;2;5;5;3;5;1;2;4;6;2;1;2;2;2;2;5;4;6;1;1;1;1;2;1;;5;-1;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-2;"none";1;1;1;1;1;1;2;2;1;1;1;2;1;1;2;1;;-1;5;6;6;6;5;3;3;4;1;1;1;1;1;1;1;2;1;;"more critical peer review on methodology/code (when supplied as supplementary material, no review is required/possible)
easy liscensing of code/research software
easy access to finished products";25;62;33;175;286;262;843;;2021-03-03 08:56:01;1;0;6;6;0;0;0.84;2
389;;;"base";"interview";2021-03-03 08:58:12;7;"senior consultant Public Authority";;"20";4;3;2;1;1;2;2;1;1;1;1;1;1;;1;2;1;1;1;1;3;3;2;4;3;5;-1;5;3;-1;3;-1;1;2;4;6;5;6;6;-1;1;1;1;1;2;1;;5;-1;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;1;1;1;2;1;1;1;-1;1;1;1;1;1;1;1;1;;3;4;5;-1;5;-1;5;5;3;-3;1;1;1;1;1;1;1;1;;"-";12;111;9;183;144;91;550;;2021-03-03 09:07:22;1;0;6;6;0;0;1.47;31
399;;;"base";"interview";2021-03-03 09:23:44;1;;;"14";5;5;2;2;1;1;2;2;1;1;2;1;1;;2;2;2;1;1;1;2;5;5;5;4;2;6;4;2;6;5;2;1;1;6;5;4;6;6;2;3;1;2;2;1;2;"ECMAScript";2;2;3;1;1;1;2;1;2;2;1;;3;2;2;2;1;;-2;"GPL MIT";2;1;2;1;1;1;2;6;2;2;2;2;2;2;1;1;;4;5;6;2;6;4;2;4;1;-1;1;1;1;1;1;1;1;1;;"Missing question in 21: Include software and data reproducibility requirements into funding guidelines of major funding agencies.";5;78;36;203;169;191;682;;2021-03-03 09:35:06;1;0;6;6;0;0;1.25;20
403;;;"base";"interview";2021-03-03 09:44:49;5;;;"20";5;4;2;2;1;1;1;1;1;2;2;1;1;;2;2;2;1;1;1;2;5;5;5;2;3;4;5;-1;-1;-1;1;2;2;5;4;-1;6;5;5;2;1;1;2;2;1;;1;2;2;1;1;2;2;1;1;1;1;;2;2;1;2;1;;-2;"GNU";-1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;;-1;5;5;5;-1;-1;-1;-1;4;-1;1;1;1;1;1;1;1;1;;"/";3;74;5;178;218;139;617;;2021-03-03 09:55:06;1;0;6;6;0;0;1.64;84
405;;;"base";"interview";2021-03-03 09:50:52;2;;;"2.5";5;1;2;1;1;1;1;1;1;1;1;1;1;;2;2;2;1;1;1;2;6;5;3;4;5;4;6;2;5;4;4;1;2;6;3;1;5;6;4;1;1;1;2;1;1;;1;2;1;1;1;1;2;1;1;1;1;;1;2;1;1;1;;-2;"Creative Commons licenses";3;1;1;1;2;2;2;2;1;1;1;2;1;1;2;1;;3;6;5;4;4;3;5;5;4;-1;1;1;1;1;1;1;1;1;;"SHARE! Share your data, share your code! ";8;636;26;206;103;78;495;;2021-03-03 10:08:29;1;0;6;6;0;0;1.31;24
408;;;"base";"interview";2021-03-03 09:51:06;2;;;"3";4;2;2;1;1;1;1;1;1;1;1;1;2;"Groundwater";1;1;1;2;1;1;3;4;6;3;-1;4;1;4;5;1;1;-1;2;2;4;4;5;6;3;5;1;1;1;2;1;1;;2;-1;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-1;;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;;-1;4;6;5;5;5;5;5;4;-3;1;1;1;1;1;1;1;1;;"-";5006;86;182;175;124;70;504;;2021-03-03 11:25:09;1;0;6;6;0;0;0.92;12
416;;;"base";"interview";2021-03-03 10:50:19;4;;;"14";4;3;2;1;1;1;1;1;2;2;1;1;1;;2;1;2;2;1;1;5;4;4;5;5;2;5;-1;-1;5;4;2;1;1;4;5;5;5;5;5;1;1;1;2;1;1;;2;4;1;1;1;1;2;1;1;1;1;;2;2;1;2;1;;-2;"GNU GPL v3";1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;;1;5;-1;5;5;5;-1;-1;1;1;1;1;1;1;1;1;1;2;"if possible in terms of time, codes have been published";"It's not only about codes but also about data which should be published along with the code. I think the past decade has seen some progress in making codes publicly available.";8;66;5;112;112;148;451;;2021-03-03 10:57:50;1;0;6;6;0;0;1.73;65
422;;;"base";"interview";2021-03-03 10:57:30;8;;"Engineer ";"15";3;2;2;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;3;6;3;4;6;1;4;5;5;2;5;1;2;1;5;4;-1;6;4;-1;2;1;1;2;2;1;;2;-1;-1;1;1;1;1;1;1;1;1;;-1;1;1;1;1;;-2;"none";1;1;1;1;1;1;2;-2;1;1;1;1;1;1;1;1;;-1;6;6;6;-1;6;6;6;3;-3;1;1;1;1;1;1;1;1;;"Show your work in appendix, attachment, online, etc";10;76;31;178;127;92;514;;2021-03-03 11:06:05;1;0;6;6;0;0;1.27;14
423;;;"base";"interview";2021-03-03 10:59:00;1;;;"13";3;1;2;1;1;1;1;1;1;1;1;1;1;;1;1;2;1;1;1;2;5;5;6;4;5;4;3;3;4;4;-1;1;1;5;4;4;6;6;3;2;2;1;1;2;1;;2;4;-1;1;1;1;1;1;1;1;1;;2;2;2;1;1;;-1;;2;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;;2;-1;4;4;4;4;6;6;3;3;2;2;1;1;2;1;1;1;;"no ideas ";10;102;47;253;216;139;767;;2021-03-03 11:11:47;1;0;6;6;0;0;0.94;6
426;;;"base";"interview";2021-03-03 11:06:02;2;;;"6";5;2;2;1;1;1;2;1;1;1;1;1;1;;1;1;2;1;1;1;2;5;5;5;5;2;5;-1;-1;6;6;2;2;1;4;5;-1;5;6;2;2;2;1;1;2;1;;1;1;-1;1;1;1;1;1;1;1;1;;2;2;1;2;1;;-2;"GNU";3;1;2;2;1;2;1;1;1;1;1;2;1;1;1;1;;2;6;5;-1;-1;5;5;-1;4;-1;1;1;1;1;1;1;1;1;;"- I would love to discuss how to standardize reporting model setups. I think this should probably rather come from journals.  
- We need to have an honest discussion about why people don't share their code. My impression is that the answers are similar to why anonymous reviews should be maintained.  
- Researchers are rarely required to produce good code. I mean when was the last time someone took your code apart and tested it? And producing good code takes practice, but also the need to want to write well-structured and well-tested code. I think the problem can only be improved if we accept that all of us are part of it and that all of us probably produce research output that is not reproducible. 
- I would love people to point out positive examples of reproducibility. 


";76;79;27;10812;605;3302;620;;2021-03-03 15:14:23;1;0;6;6;0;0;0.45;2
